"dataset(dia)","cidade","UF","Cdufmun","DATA","Escala.de.cor","Número de registros","População","Índice.de.isolamento"
"33","São Paulo","SP","3550308",2020-03-25,">50-60%","1","12252023",55
"33","Guarulhos","SP","3518800",2020-03-25,">50-60%","1","1379182",54
"33","Campinas","SP","3509502",2020-03-25,">50-60%","1","1204073",55
"33","São Bernardo do Campo","SP","3548708",2020-03-25,">50-60%","1","838936",54
"33","São José dos Campos","SP","3549904",2020-03-25,">50-60%","1","721944",55
"33","Santo André","SP","3547809",2020-03-25,">50-60%","1","718773",55
"33","Ribeirão Preto","SP","3543402",2020-03-25,">50-60%","1","703293",52
"33","Osasco","SP","3534401",2020-03-25,">50-60%","1","698418",54
"33","Sorocaba","SP","3552205",2020-03-25,">50-60%","1","679378",52
"33","Mauá","SP","3529401",2020-03-25,">50-60%","1","472912",54
"33","São José do Rio Preto","SP","3549805",2020-03-25,">50-60%","1","460671",51
"33","Mogi das Cruzes","SP","3530607",2020-03-25,">50-60%","1","445842",56
"33","Santos","SP","3548500",2020-03-25,">50-60%","1","433311",54
"33","Diadema","SP","3513801",2020-03-25,">50-60%","1","423884",56
"33","Jundiaí","SP","3525904",2020-03-25,">50-60%","1","418962",51
"33","Piracicaba","SP","3538709",2020-03-25,">50-60%","1","404142",52
"33","Carapicuíba","SP","3510609",2020-03-25,">50-60%","1","400927",54
"33","Bauru","SP","3506003",2020-03-25,">40-50%","1","376818",48
"33","Estado de São Paulo","","",2020-03-25,">50-60%","1","",54
"33","Americana","SP","3501608",2020-03-25,">50-60%","1","239597",54
"33","Amparo","SP","3501905",2020-03-25,">50-60%","1","72195",55
"33","Araçatuba","SP","3502804",2020-03-25,">40-50%","1","197016",48
"33","Araraquara","SP","3503208",2020-03-25,">50-60%","1","236072",51
"33","Araras","SP","3503307",2020-03-25,">50-60%","1","134236",54
"33","Arujá","SP","3503901",2020-03-25,">50-60%","1","89824",54
"33","Assis","SP","3504008",2020-03-25,">50-60%","1","104386",54
"33","Atibaia","SP","3504107",2020-03-25,">50-60%","1","142761",56
"33","Avaré","SP","3504503",2020-03-25,">50-60%","1","90655",55
"33","Barretos","SP","3505500",2020-03-25,">50-60%","1","122098",52
"33","Barueri","SP","3505708",2020-03-25,">40-50%","1","274182",50
"33","Bebedouro","SP","3506102",2020-03-25,">60-70%","1","77496",63
"33","Birigui","SP","3506508",2020-03-25,">50-60%","1","123638",54
"33","Botucatu","SP","3507506",2020-03-25,">50-60%","1","146497",52
"33","Bragança Paulista","SP","3507605",2020-03-25,">50-60%","1","168668",51
"33","Caçapava","SP","3508504",2020-03-25,">60-70%","1","94263",62
"33","Caieiras","SP","3509007",2020-03-25,">50-60%","1","101470",53
"33","Cajamar","SP","3509205",2020-03-25,">50-60%","1","76801",56
"33","Campo Limpo Paulista","SP","3509601",2020-03-25,">50-60%","1","84650",55
"33","Caraguatatuba","SP","3510500",2020-03-25,">60-70%","1","121532",64
"33","Catanduva","SP","3511102",2020-03-25,">40-50%","1","121862",47
"33","Cotia","SP","3513009",2020-03-25,">50-60%","1","249210",57
"33","Cruzeiro","SP","3513405",2020-03-25,">60-70%","1","82238",65
"33","Cubatão","SP","3513504",2020-03-25,">40-50%","1","130705",46
"33","Embu das Artes","SP","3515004",2020-03-25,">50-60%","1","273726",52
"33","Ferraz de Vasconcelos","SP","3515707",2020-03-25,">50-60%","1","194276",54
"33","Franca","SP","3516200",2020-03-25,">50-60%","1","353187",54
"33","Francisco Morato","SP","3516309",2020-03-25,">50-60%","1","175844",52
"33","Franco da Rocha","SP","3516408",2020-03-25,">50-60%","1","154489",53
"33","Guaratinguetá","SP","3518404",2020-03-25,">50-60%","1","121798",58
"33","Guarujá","SP","3518701",2020-03-25,">50-60%","1","320459",57
"33","Hortolândia","SP","3519071",2020-03-25,">50-60%","1","230851",55
"33","Ibiúna","SP","3519709",2020-03-25,">60-70%","1","78878",66
"33","Indaiatuba","SP","3520509",2020-03-25,">50-60%","1","251627",57
"33","Itanhaém","SP","3522109",2020-03-25,">60-70%","1","101816",61
"33","Itapecerica da Serra","SP","3522208",2020-03-25,">50-60%","1","175693",59
"33","Itapetininga","SP","3522307",2020-03-25,">50-60%","1","163901",53
"33","Itapeva","SP","3522406",2020-03-25,">50-60%","1","94354",53
"33","Itapevi","SP","3522505",2020-03-25,">50-60%","1","237700",54
"33","Itapira","SP","3522604",2020-03-25,">50-60%","1","74773",56
"33","Itaquaquecetuba","SP","3523107",2020-03-25,">50-60%","1","370821",58
"33","Itatiba","SP","3523404",2020-03-25,">50-60%","1","120858",52
"33","Itu","SP","3523909",2020-03-25,">50-60%","1","173939",53
"33","Jaboticabal","SP","3524303",2020-03-25,">50-60%","1","77263",52
"33","Jacareí","SP","3524402",2020-03-25,">50-60%","1","233662",54
"33","Jandira","SP","3525003",2020-03-25,">50-60%","1","124937",51
"33","Jaú","SP","3525300",2020-03-25,">50-60%","1","150252",52
"33","Leme","SP","3526704",2020-03-25,">50-60%","1","103391",57
"33","Limeira","SP","3526902",2020-03-25,">40-50%","1","306114",48
"33","Lins","SP","3527108",2020-03-25,">50-60%","1","78013",51
"33","Lorena","SP","3527207",2020-03-25,">60-70%","1","88706",64
"33","Mairiporã","SP","3528502",2020-03-25,">60-70%","1","100179",62
"33","Marília","SP","3529005",2020-03-25,">50-60%","1","238882",50
"33","Matão","SP","3529302",2020-03-25,">50-60%","1","83170",52
"33","Mogi Guaçu","SP","3530706",2020-03-25,">50-60%","1","151888",55
"33","Mogi Mirim","SP","3530805",2020-03-25,">50-60%","1","93189",56
"33","Ourinhos","SP","3534708",2020-03-25,">50-60%","1","113542",51
"33","Paulínia","SP","3536505",2020-03-25,">50-60%","1","109424",56
"33","Pindamonhangaba","SP","3538006",2020-03-25,">60-70%","1","168328",61
"33","Pirassununga","SP","3539301",2020-03-25,">50-60%","1","76409",59
"33","Poá","SP","3539806",2020-03-25,">50-60%","1","117452",58
"33","Praia Grande","SP","3541000",2020-03-25,">50-60%","1","325073",55
"33","Presidente Prudente","SP","3541406",2020-03-25,">40-50%","1","228743",47
"33","Ribeirão Pires","SP","3543303",2020-03-25,">60-70%","1","123393",62
"33","Rio Claro","SP","3543907",2020-03-25,">50-60%","1","206424",53
"33","Salto","SP","3545209",2020-03-25,">50-60%","1","118663",53
"33","Santa Bárbara d'Oeste","SP","3545803",2020-03-25,">50-60%","1","193475",52
"33","Santana de Parnaíba","SP","3547304",2020-03-25,">50-60%","1","139447",59
"33","São Caetano do Sul","SP","3548807",2020-03-25,">50-60%","1","161127",55
"33","São Carlos","SP","3548906",2020-03-25,">50-60%","1","251983",59
"33","São João da Boa Vista","SP","3549102",2020-03-25,">60-70%","1","91211",60
"33","São Roque","SP","3550605",2020-03-25,">50-60%","1","91016",59
"33","São Sebastião","SP","3550704",2020-03-25,">70%","1","88980",72
"33","São Vicente","SP","3551009",2020-03-25,">50-60%","1","365798",58
"33","Sertãozinho","SP","3551702",2020-03-25,">50-60%","1","125815",56
"33","Sumaré","SP","3552403",2020-03-25,">40-50%","1","282441",50
"33","Suzano","SP","3552502",2020-03-25,">50-60%","1","297637",56
"33","Taboão da Serra","SP","3552809",2020-03-25,">50-60%","1","289664",54
"33","Tatuí","SP","3554003",2020-03-25,">50-60%","1","121766",54
"33","Taubaté","SP","3554102",2020-03-25,">50-60%","1","314924",57
"33","Ubatuba","SP","3555406",2020-03-25,">60-70%","1","90799",69
"33","Valinhos","SP","3556206",2020-03-25,">50-60%","1","129193",56
"33","Várzea Paulista","SP","3556503",2020-03-25,">50-60%","1","121838",51
"33","Vinhedo","SP","3556701",2020-03-25,">50-60%","1","78728",59
"33","Votorantim","SP","3557006",2020-03-25,">50-60%","1","122480",56
"33","Votuporanga","SP","3557105",2020-03-25,">50-60%","1","94547",57
"35","São Paulo","SP","3550308",2020-03-26,">50-60%","1","12252023",55
"35","Guarulhos","SP","3518800",2020-03-26,">50-60%","1","1379182",54
"35","Campinas","SP","3509502",2020-03-26,">50-60%","1","1204073",54
"35","São Bernardo do Campo","SP","3548708",2020-03-26,">50-60%","1","838936",55
"35","São José dos Campos","SP","3549904",2020-03-26,">50-60%","1","721944",54
"35","Santo André","SP","3547809",2020-03-26,">50-60%","1","718773",56
"35","Ribeirão Preto","SP","3543402",2020-03-26,">50-60%","1","703293",51
"35","Osasco","SP","3534401",2020-03-26,">50-60%","1","698418",55
"35","Sorocaba","SP","3552205",2020-03-26,">50-60%","1","679378",51
"35","Mauá","SP","3529401",2020-03-26,">50-60%","1","472912",55
"35","São José do Rio Preto","SP","3549805",2020-03-26,">40-50%","1","460671",49
"35","Mogi das Cruzes","SP","3530607",2020-03-26,">50-60%","1","445842",56
"35","Santos","SP","3548500",2020-03-26,">50-60%","1","433311",54
"35","Diadema","SP","3513801",2020-03-26,">50-60%","1","423884",56
"35","Jundiaí","SP","3525904",2020-03-26,">50-60%","1","418962",51
"35","Piracicaba","SP","3538709",2020-03-26,">50-60%","1","404142",52
"35","Carapicuíba","SP","3510609",2020-03-26,">50-60%","1","400927",53
"35","Bauru","SP","3506003",2020-03-26,">40-50%","1","376818",48
"35","Estado de São Paulo","","",2020-03-26,">50-60%","1","",54
"35","Americana","SP","3501608",2020-03-26,">50-60%","1","239597",54
"35","Amparo","SP","3501905",2020-03-26,">50-60%","1","72195",54
"35","Araçatuba","SP","3502804",2020-03-26,">40-50%","1","197016",48
"35","Araraquara","SP","3503208",2020-03-26,">40-50%","1","236072",50
"35","Araras","SP","3503307",2020-03-26,">50-60%","1","134236",53
"35","Arujá","SP","3503901",2020-03-26,">50-60%","1","89824",53
"35","Assis","SP","3504008",2020-03-26,">50-60%","1","104386",54
"35","Atibaia","SP","3504107",2020-03-26,">50-60%","1","142761",56
"35","Avaré","SP","3504503",2020-03-26,">50-60%","1","90655",55
"35","Barretos","SP","3505500",2020-03-26,">50-60%","1","122098",51
"35","Barueri","SP","3505708",2020-03-26,">40-50%","1","274182",50
"35","Bebedouro","SP","3506102",2020-03-26,">60-70%","1","77496",62
"35","Birigui","SP","3506508",2020-03-26,">50-60%","1","123638",53
"35","Botucatu","SP","3507506",2020-03-26,">50-60%","1","146497",51
"35","Bragança Paulista","SP","3507605",2020-03-26,">40-50%","1","168668",50
"35","Caçapava","SP","3508504",2020-03-26,">60-70%","1","94263",60
"35","Caieiras","SP","3509007",2020-03-26,">50-60%","1","101470",53
"35","Cajamar","SP","3509205",2020-03-26,">50-60%","1","76801",55
"35","Campo Limpo Paulista","SP","3509601",2020-03-26,">50-60%","1","84650",55
"35","Caraguatatuba","SP","3510500",2020-03-26,">60-70%","1","121532",63
"35","Catanduva","SP","3511102",2020-03-26,">40-50%","1","121862",46
"35","Cotia","SP","3513009",2020-03-26,">50-60%","1","249210",58
"35","Cruzeiro","SP","3513405",2020-03-26,">60-70%","1","82238",63
"35","Cubatão","SP","3513504",2020-03-26,">40-50%","1","130705",44
"35","Embu das Artes","SP","3515004",2020-03-26,">50-60%","1","273726",54
"35","Ferraz de Vasconcelos","SP","3515707",2020-03-26,">50-60%","1","194276",54
"35","Franca","SP","3516200",2020-03-26,">50-60%","1","353187",52
"35","Francisco Morato","SP","3516309",2020-03-26,">40-50%","1","175844",49
"35","Franco da Rocha","SP","3516408",2020-03-26,">50-60%","1","154489",53
"35","Guaratinguetá","SP","3518404",2020-03-26,">50-60%","1","121798",56
"35","Guarujá","SP","3518701",2020-03-26,">50-60%","1","320459",57
"35","Hortolândia","SP","3519071",2020-03-26,">50-60%","1","230851",55
"35","Ibiúna","SP","3519709",2020-03-26,">60-70%","1","78878",65
"35","Indaiatuba","SP","3520509",2020-03-26,">50-60%","1","251627",56
"35","Itanhaém","SP","3522109",2020-03-26,">60-70%","1","101816",61
"35","Itapecerica da Serra","SP","3522208",2020-03-26,">50-60%","1","175693",58
"35","Itapetininga","SP","3522307",2020-03-26,">50-60%","1","163901",53
"35","Itapeva","SP","3522406",2020-03-26,">50-60%","1","94354",52
"35","Itapevi","SP","3522505",2020-03-26,">50-60%","1","237700",54
"35","Itapira","SP","3522604",2020-03-26,">50-60%","1","74773",55
"35","Itaquaquecetuba","SP","3523107",2020-03-26,">50-60%","1","370821",58
"35","Itatiba","SP","3523404",2020-03-26,">50-60%","1","120858",51
"35","Itu","SP","3523909",2020-03-26,">50-60%","1","173939",52
"35","Jaboticabal","SP","3524303",2020-03-26,">50-60%","1","77263",53
"35","Jacareí","SP","3524402",2020-03-26,">50-60%","1","233662",53
"35","Jandira","SP","3525003",2020-03-26,">50-60%","1","124937",53
"35","Jaú","SP","3525300",2020-03-26,">50-60%","1","150252",51
"35","Leme","SP","3526704",2020-03-26,">50-60%","1","103391",56
"35","Limeira","SP","3526902",2020-03-26,">40-50%","1","306114",47
"35","Lins","SP","3527108",2020-03-26,">50-60%","1","78013",50
"35","Lorena","SP","3527207",2020-03-26,">60-70%","1","88706",63
"35","Mairiporã","SP","3528502",2020-03-26,">60-70%","1","100179",61
"35","Marília","SP","3529005",2020-03-26,">50-60%","1","238882",50
"35","Matão","SP","3529302",2020-03-26,">50-60%","1","83170",51
"35","Mogi Guaçu","SP","3530706",2020-03-26,">50-60%","1","151888",54
"35","Mogi Mirim","SP","3530805",2020-03-26,">50-60%","1","93189",55
"35","Ourinhos","SP","3534708",2020-03-26,">50-60%","1","113542",50
"35","Paulínia","SP","3536505",2020-03-26,">50-60%","1","109424",54
"35","Pindamonhangaba","SP","3538006",2020-03-26,">50-60%","1","168328",59
"35","Pirassununga","SP","3539301",2020-03-26,">50-60%","1","76409",57
"35","Poá","SP","3539806",2020-03-26,">50-60%","1","117452",57
"35","Praia Grande","SP","3541000",2020-03-26,">50-60%","1","325073",54
"35","Presidente Prudente","SP","3541406",2020-03-26,">40-50%","1","228743",47
"35","Ribeirão Pires","SP","3543303",2020-03-26,">60-70%","1","123393",61
"35","Rio Claro","SP","3543907",2020-03-26,">50-60%","1","206424",53
"35","Salto","SP","3545209",2020-03-26,">50-60%","1","118663",52
"35","Santa Bárbara d'Oeste","SP","3545803",2020-03-26,">50-60%","1","193475",51
"35","Santana de Parnaíba","SP","3547304",2020-03-26,">50-60%","1","139447",58
"35","São Caetano do Sul","SP","3548807",2020-03-26,">50-60%","1","161127",54
"35","São Carlos","SP","3548906",2020-03-26,">50-60%","1","251983",56
"35","São João da Boa Vista","SP","3549102",2020-03-26,">60-70%","1","91211",60
"35","São Roque","SP","3550605",2020-03-26,">50-60%","1","91016",59
"35","São Sebastião","SP","3550704",2020-03-26,">70%","1","88980",71
"35","São Vicente","SP","3551009",2020-03-26,">50-60%","1","365798",58
"35","Sertãozinho","SP","3551702",2020-03-26,">50-60%","1","125815",55
"35","Sumaré","SP","3552403",2020-03-26,">40-50%","1","282441",50
"35","Suzano","SP","3552502",2020-03-26,">50-60%","1","297637",56
"35","Taboão da Serra","SP","3552809",2020-03-26,">50-60%","1","289664",54
"35","Tatuí","SP","3554003",2020-03-26,">50-60%","1","121766",53
"35","Taubaté","SP","3554102",2020-03-26,">50-60%","1","314924",56
"35","Ubatuba","SP","3555406",2020-03-26,">60-70%","1","90799",68
"35","Valinhos","SP","3556206",2020-03-26,">50-60%","1","129193",56
"35","Várzea Paulista","SP","3556503",2020-03-26,">50-60%","1","121838",51
"35","Vinhedo","SP","3556701",2020-03-26,">50-60%","1","78728",58
"35","Votorantim","SP","3557006",2020-03-26,">50-60%","1","122480",55
"35","Votuporanga","SP","3557105",2020-03-26,">50-60%","1","94547",57
"37","São Paulo","SP","3550308",2020-03-27,">50-60%","1","12252023",55
"37","Guarulhos","SP","3518800",2020-03-27,">50-60%","1","1379182",53
"37","Campinas","SP","3509502",2020-03-27,">50-60%","1","1204073",54
"37","São Bernardo do Campo","SP","3548708",2020-03-27,">50-60%","1","838936",53
"37","São José dos Campos","SP","3549904",2020-03-27,">50-60%","1","721944",55
"37","Santo André","SP","3547809",2020-03-27,">50-60%","1","718773",54
"37","Ribeirão Preto","SP","3543402",2020-03-27,">50-60%","1","703293",50
"37","Osasco","SP","3534401",2020-03-27,">50-60%","1","698418",54
"37","Sorocaba","SP","3552205",2020-03-27,">50-60%","1","679378",51
"37","Mauá","SP","3529401",2020-03-27,">50-60%","1","472912",54
"37","São José do Rio Preto","SP","3549805",2020-03-27,">40-50%","1","460671",48
"37","Mogi das Cruzes","SP","3530607",2020-03-27,">50-60%","1","445842",54
"37","Santos","SP","3548500",2020-03-27,">50-60%","1","433311",53
"37","Diadema","SP","3513801",2020-03-27,">50-60%","1","423884",55
"37","Jundiaí","SP","3525904",2020-03-27,">50-60%","1","418962",50
"37","Piracicaba","SP","3538709",2020-03-27,">40-50%","1","404142",50
"37","Carapicuíba","SP","3510609",2020-03-27,">50-60%","1","400927",53
"37","Bauru","SP","3506003",2020-03-27,">40-50%","1","376818",47
"37","Estado de São Paulo","","",2020-03-27,">50-60%","1","",53
"37","Americana","SP","3501608",2020-03-27,">50-60%","1","239597",52
"37","Amparo","SP","3501905",2020-03-27,">50-60%","1","72195",55
"37","Araçatuba","SP","3502804",2020-03-27,">40-50%","1","197016",45
"37","Araraquara","SP","3503208",2020-03-27,">40-50%","1","236072",48
"37","Araras","SP","3503307",2020-03-27,">50-60%","1","134236",52
"37","Arujá","SP","3503901",2020-03-27,">50-60%","1","89824",55
"37","Assis","SP","3504008",2020-03-27,">50-60%","1","104386",52
"37","Atibaia","SP","3504107",2020-03-27,">50-60%","1","142761",56
"37","Avaré","SP","3504503",2020-03-27,">50-60%","1","90655",54
"37","Barretos","SP","3505500",2020-03-27,">50-60%","1","122098",53
"37","Barueri","SP","3505708",2020-03-27,">40-50%","1","274182",50
"37","Bebedouro","SP","3506102",2020-03-27,">60-70%","1","77496",62
"37","Birigui","SP","3506508",2020-03-27,">50-60%","1","123638",52
"37","Botucatu","SP","3507506",2020-03-27,">50-60%","1","146497",51
"37","Bragança Paulista","SP","3507605",2020-03-27,">50-60%","1","168668",50
"37","Caçapava","SP","3508504",2020-03-27,">60-70%","1","94263",60
"37","Caieiras","SP","3509007",2020-03-27,">50-60%","1","101470",54
"37","Cajamar","SP","3509205",2020-03-27,">50-60%","1","76801",56
"37","Campo Limpo Paulista","SP","3509601",2020-03-27,">50-60%","1","84650",54
"37","Caraguatatuba","SP","3510500",2020-03-27,">60-70%","1","121532",61
"37","Catanduva","SP","3511102",2020-03-27,">40-50%","1","121862",46
"37","Cotia","SP","3513009",2020-03-27,">50-60%","1","249210",57
"37","Cruzeiro","SP","3513405",2020-03-27,">60-70%","1","82238",64
"37","Cubatão","SP","3513504",2020-03-27,">40-50%","1","130705",46
"37","Embu das Artes","SP","3515004",2020-03-27,">50-60%","1","273726",54
"37","Ferraz de Vasconcelos","SP","3515707",2020-03-27,">40-50%","1","194276",49
"37","Franca","SP","3516200",2020-03-27,">40-50%","1","353187",50
"37","Francisco Morato","SP","3516309",2020-03-27,">50-60%","1","175844",50
"37","Franco da Rocha","SP","3516408",2020-03-27,">50-60%","1","154489",53
"37","Guaratinguetá","SP","3518404",2020-03-27,">50-60%","1","121798",56
"37","Guarujá","SP","3518701",2020-03-27,">50-60%","1","320459",56
"37","Hortolândia","SP","3519071",2020-03-27,">50-60%","1","230851",54
"37","Ibiúna","SP","3519709",2020-03-27,">60-70%","1","78878",63
"37","Indaiatuba","SP","3520509",2020-03-27,">50-60%","1","251627",55
"37","Itanhaém","SP","3522109",2020-03-27,">50-60%","1","101816",59
"37","Itapecerica da Serra","SP","3522208",2020-03-27,">50-60%","1","175693",58
"37","Itapetininga","SP","3522307",2020-03-27,">50-60%","1","163901",51
"37","Itapeva","SP","3522406",2020-03-27,">50-60%","1","94354",51
"37","Itapevi","SP","3522505",2020-03-27,">50-60%","1","237700",53
"37","Itapira","SP","3522604",2020-03-27,">50-60%","1","74773",55
"37","Itaquaquecetuba","SP","3523107",2020-03-27,">50-60%","1","370821",57
"37","Itatiba","SP","3523404",2020-03-27,">50-60%","1","120858",50
"37","Itu","SP","3523909",2020-03-27,">50-60%","1","173939",51
"37","Jaboticabal","SP","3524303",2020-03-27,">50-60%","1","77263",53
"37","Jacareí","SP","3524402",2020-03-27,">50-60%","1","233662",54
"37","Jandira","SP","3525003",2020-03-27,">50-60%","1","124937",50
"37","Jaú","SP","3525300",2020-03-27,">50-60%","1","150252",51
"37","Leme","SP","3526704",2020-03-27,">50-60%","1","103391",56
"37","Limeira","SP","3526902",2020-03-27,">40-50%","1","306114",46
"37","Lins","SP","3527108",2020-03-27,">50-60%","1","78013",50
"37","Lorena","SP","3527207",2020-03-27,">60-70%","1","88706",63
"37","Mairiporã","SP","3528502",2020-03-27,">60-70%","1","100179",62
"37","Marília","SP","3529005",2020-03-27,">40-50%","1","238882",48
"37","Matão","SP","3529302",2020-03-27,">50-60%","1","83170",50
"37","Mogi Guaçu","SP","3530706",2020-03-27,">50-60%","1","151888",54
"37","Mogi Mirim","SP","3530805",2020-03-27,">50-60%","1","93189",56
"37","Ourinhos","SP","3534708",2020-03-27,">40-50%","1","113542",49
"37","Paulínia","SP","3536505",2020-03-27,">50-60%","1","109424",55
"37","Pindamonhangaba","SP","3538006",2020-03-27,">50-60%","1","168328",59
"37","Pirassununga","SP","3539301",2020-03-27,">50-60%","1","76409",58
"37","Poá","SP","3539806",2020-03-27,">50-60%","1","117452",58
"37","Praia Grande","SP","3541000",2020-03-27,">50-60%","1","325073",52
"37","Presidente Prudente","SP","3541406",2020-03-27,">40-50%","1","228743",45
"37","Ribeirão Pires","SP","3543303",2020-03-27,">60-70%","1","123393",61
"37","Rio Claro","SP","3543907",2020-03-27,">50-60%","1","206424",51
"37","Salto","SP","3545209",2020-03-27,">50-60%","1","118663",52
"37","Santa Bárbara d'Oeste","SP","3545803",2020-03-27,">40-50%","1","193475",50
"37","Santana de Parnaíba","SP","3547304",2020-03-27,">50-60%","1","139447",58
"37","São Caetano do Sul","SP","3548807",2020-03-27,">50-60%","1","161127",54
"37","São Carlos","SP","3548906",2020-03-27,">50-60%","1","251983",55
"37","São João da Boa Vista","SP","3549102",2020-03-27,">50-60%","1","91211",59
"37","São Roque","SP","3550605",2020-03-27,">50-60%","1","91016",58
"37","São Sebastião","SP","3550704",2020-03-27,">60-70%","1","88980",69
"37","São Vicente","SP","3551009",2020-03-27,">50-60%","1","365798",57
"37","Sertãozinho","SP","3551702",2020-03-27,">50-60%","1","125815",54
"37","Sumaré","SP","3552403",2020-03-27,">40-50%","1","282441",50
"37","Suzano","SP","3552502",2020-03-27,">50-60%","1","297637",55
"37","Taboão da Serra","SP","3552809",2020-03-27,">50-60%","1","289664",52
"37","Tatuí","SP","3554003",2020-03-27,">50-60%","1","121766",52
"37","Taubaté","SP","3554102",2020-03-27,">50-60%","1","314924",55
"37","Ubatuba","SP","3555406",2020-03-27,">60-70%","1","90799",66
"37","Valinhos","SP","3556206",2020-03-27,">50-60%","1","129193",56
"37","Várzea Paulista","SP","3556503",2020-03-27,">40-50%","1","121838",49
"37","Vinhedo","SP","3556701",2020-03-27,">50-60%","1","78728",56
"37","Votorantim","SP","3557006",2020-03-27,">50-60%","1","122480",54
"37","Votuporanga","SP","3557105",2020-03-27,">50-60%","1","94547",56
"39","São Paulo","SP","3550308",2020-03-28,">50-60%","1","12252023",56
"39","Guarulhos","SP","3518800",2020-03-28,">50-60%","1","1379182",57
"39","Campinas","SP","3509502",2020-03-28,">50-60%","1","1204073",57
"39","São Bernardo do Campo","SP","3548708",2020-03-28,">50-60%","1","838936",55
"39","São José dos Campos","SP","3549904",2020-03-28,">50-60%","1","721944",57
"39","Santo André","SP","3547809",2020-03-28,">50-60%","1","718773",56
"39","Ribeirão Preto","SP","3543402",2020-03-28,">50-60%","1","703293",54
"39","Osasco","SP","3534401",2020-03-28,">50-60%","1","698418",56
"39","Sorocaba","SP","3552205",2020-03-28,">50-60%","1","679378",54
"39","Mauá","SP","3529401",2020-03-28,">50-60%","1","472912",57
"39","São José do Rio Preto","SP","3549805",2020-03-28,">50-60%","1","460671",52
"39","Mogi das Cruzes","SP","3530607",2020-03-28,">50-60%","1","445842",57
"39","Santos","SP","3548500",2020-03-28,">50-60%","1","433311",55
"39","Diadema","SP","3513801",2020-03-28,">50-60%","1","423884",59
"39","Jundiaí","SP","3525904",2020-03-28,">50-60%","1","418962",54
"39","Piracicaba","SP","3538709",2020-03-28,">50-60%","1","404142",53
"39","Carapicuíba","SP","3510609",2020-03-28,">50-60%","1","400927",56
"39","Bauru","SP","3506003",2020-03-28,">50-60%","1","376818",51
"39","Estado de São Paulo","","",2020-03-28,">50-60%","1","",56
"39","Americana","SP","3501608",2020-03-28,">50-60%","1","239597",56
"39","Amparo","SP","3501905",2020-03-28,">50-60%","1","72195",56
"39","Araçatuba","SP","3502804",2020-03-28,">40-50%","1","197016",48
"39","Araraquara","SP","3503208",2020-03-28,">50-60%","1","236072",50
"39","Araras","SP","3503307",2020-03-28,">50-60%","1","134236",55
"39","Arujá","SP","3503901",2020-03-28,">50-60%","1","89824",59
"39","Assis","SP","3504008",2020-03-28,">50-60%","1","104386",54
"39","Atibaia","SP","3504107",2020-03-28,">50-60%","1","142761",58
"39","Avaré","SP","3504503",2020-03-28,">50-60%","1","90655",55
"39","Barretos","SP","3505500",2020-03-28,">50-60%","1","122098",55
"39","Barueri","SP","3505708",2020-03-28,">50-60%","1","274182",51
"39","Bebedouro","SP","3506102",2020-03-28,">60-70%","1","77496",65
"39","Birigui","SP","3506508",2020-03-28,">50-60%","1","123638",52
"39","Botucatu","SP","3507506",2020-03-28,">50-60%","1","146497",54
"39","Bragança Paulista","SP","3507605",2020-03-28,">50-60%","1","168668",53
"39","Caçapava","SP","3508504",2020-03-28,">60-70%","1","94263",62
"39","Caieiras","SP","3509007",2020-03-28,">50-60%","1","101470",57
"39","Cajamar","SP","3509205",2020-03-28,">50-60%","1","76801",59
"39","Campo Limpo Paulista","SP","3509601",2020-03-28,">50-60%","1","84650",58
"39","Caraguatatuba","SP","3510500",2020-03-28,">60-70%","1","121532",63
"39","Catanduva","SP","3511102",2020-03-28,">40-50%","1","121862",49
"39","Cotia","SP","3513009",2020-03-28,">50-60%","1","249210",60
"39","Cruzeiro","SP","3513405",2020-03-28,">60-70%","1","82238",65
"39","Cubatão","SP","3513504",2020-03-28,">40-50%","1","130705",48
"39","Embu das Artes","SP","3515004",2020-03-28,">50-60%","1","273726",55
"39","Ferraz de Vasconcelos","SP","3515707",2020-03-28,">40-50%","1","194276",49
"39","Franca","SP","3516200",2020-03-28,">50-60%","1","353187",54
"39","Francisco Morato","SP","3516309",2020-03-28,">50-60%","1","175844",54
"39","Franco da Rocha","SP","3516408",2020-03-28,">50-60%","1","154489",56
"39","Guaratinguetá","SP","3518404",2020-03-28,">50-60%","1","121798",57
"39","Guarujá","SP","3518701",2020-03-28,">50-60%","1","320459",58
"39","Hortolândia","SP","3519071",2020-03-28,">50-60%","1","230851",58
"39","Ibiúna","SP","3519709",2020-03-28,">60-70%","1","78878",64
"39","Indaiatuba","SP","3520509",2020-03-28,">50-60%","1","251627",59
"39","Itanhaém","SP","3522109",2020-03-28,">60-70%","1","101816",60
"39","Itapecerica da Serra","SP","3522208",2020-03-28,">60-70%","1","175693",61
"39","Itapetininga","SP","3522307",2020-03-28,">50-60%","1","163901",53
"39","Itapeva","SP","3522406",2020-03-28,">50-60%","1","94354",52
"39","Itapevi","SP","3522505",2020-03-28,">50-60%","1","237700",56
"39","Itapira","SP","3522604",2020-03-28,">50-60%","1","74773",58
"39","Itaquaquecetuba","SP","3523107",2020-03-28,">60-70%","1","370821",61
"39","Itatiba","SP","3523404",2020-03-28,">50-60%","1","120858",53
"39","Itu","SP","3523909",2020-03-28,">50-60%","1","173939",55
"39","Jaboticabal","SP","3524303",2020-03-28,">50-60%","1","77263",55
